id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
11706013;Fenway/Longwood newly renovated walker's paradise;61214695;Cy;0;Fenway;42.34359205;-71.10313694;Entire home/apt;120;3;1;2016-06-25;0.03;1;0
11710680;Bright & beautiful 2BR in best location;7744251;Lisa;0;South End;42.3438098;-71.06929087;Entire home/apt;249;3;14;2016-11-13;0.44;1;0
11712306;Brownstone in Back Bay, 1st Floor APT;62265184;Alex;0;Back Bay;42.34220751;-71.08394242;Private room;129;1;7;2017-08-17;0.43;1;0
11739985;Two Room Master Suite with Spa Bath;35411494;Jon&Margrit;0;Jamaica Plain;42.3177898;-71.10489693;Private room;199;1;100;2018-10-21;3.11;2;123
11751289;Large bedroom near Symphony Hall;42847628;Wan;0;Fenway;42.34263185;-71.08757802;Private room;67;1;0;0;0;1;0
11757166;MINUTES TO CONVENTION AREA/SEAPORT W/ PRIVATE BATH;54099497;Michael;0;South Boston;42.33796164;-71.03975259;Private room;69;1;205;2018-11-15;6.38;5;318
11757376;MINUTES TO SEAPORT/CONVENTION CTR W/ PRIVATE BATH;54099497;Michael;0;South Boston;42.3364456;-71.04048657;Private room;89;1;111;2018-11-13;3.53;5;344
11758169;LOCATION! Modern Boston Home;62572217;Julie;0;South Boston;42.3387045;-71.05309135;Entire home/apt;125;1;98;2018-10-20;3.1;3;246
11759332;Quiet & Lovely Private Room Near T!;16186589;Marie;0;Dorchester;42.29072925;-71.0645636;Private room;65;25;5;2018-10-26;0.24;25;351
11760822;30 Days+ near BC/BU, BIA,T-stop, parks+more;50437930;Misha;0;Brighton;42.34029639;-71.15078826;Entire home/apt;150;25;119;2018-10-30;3.78;3;51
11784924;Best Price nearby the boston common park;58406596;Jacky;0;Downtown;42.35254892;-71.06314349;Private room;60;2;12;2017-02-26;0.51;1;0
11787441;LUXURIOUS BOSTON HOME:2BD/2BA-MINS TO SEAPORT AREA;54099497;Michael;0;South Boston;42.33748865;-71.04031451;Entire home/apt;400;1;6;2018-06-24;0.19;5;314
11799482;Beautiful room in the Fenway area;7825154;Ariel;0;Fenway;42.34412911;-71.09050917;Private room;57;14;2;2016-06-23;0.06;1;0
11813641;North End Luxurious Modern One Bedroom Condo;10250257;Caroline;0;North End;42.36460672;-71.05312815;Entire home/apt;270;30;23;2018-08-12;1.18;2;120
11826815;Terrestrial Paradise of Eternal Love;18807469;Derian;0;Jamaica Plain;42.29956292;-71.11283945;Private room;88;6;32;2018-11-01;0.98;3;0
11827696;Skylit top-level loft in Boston;19310884;Evgeny;0;Mission Hill;42.33086106;-71.10033068;Private room;99;1;3;2016-07-02;0.1;1;0
11837857;Freedom trail condo with amazing Boston views;4100684;Laurel;0;Charlestown;42.37999732;-71.06569763;Entire home/apt;350;1;0;0;0;1;0
11842312;Charming 1BR in Theater District by Sonder;12243051;Sonder;0;Downtown;42.35158093;-71.06686683;Entire home/apt;136;2;37;2018-11-02;1.2;323;3
11853416;Lovely Boston Condo Handy to Subway;7900634;Marsha;0;Mattapan;42.27852071;-71.06914428;Entire home/apt;230;3;7;2018-11-06;0.22;1;297
11856912;Brownstone Apt. in Hip S. End!;8992252;Laurel;0;South End;42.33833507;-71.07090524;Entire home/apt;185;2;3;2016-04-19;0.09;1;0
11866651;3 BR|2.5 BA Renovated House Parking Top Location;40946436;John;0;Downtown;42.35076076;-71.0658508;Entire home/apt;350;1;218;2018-11-11;6.91;2;88
11866869;Vibrant East Boston Apartment;15349238;Vitaly;0;East Boston;42.37234908;-71.04158969;Private room;70;3;1;2016-03-28;0.03;1;0
11871190;Spacious loft in the quiet suburbs #2;7324551;Bo;0;Brighton;42.3435907;-71.15506616;Private room;33;60;10;2018-09-01;0.33;3;365
11873789;Cozy Apartment + Porch in South End;44369882;Garrett;0;South End;42.34245931;-71.07890448;Entire home/apt;225;3;36;2018-10-16;1.13;1;359
11885653;Marriott's Customs House;665668;Richelle;0;Downtown;42.35926316;-71.05291766;Private room;135;1;3;2016-04-03;0.09;1;0
11896394;Small cozy studio in Allston;13263766;Olechka;0;Allston;42.3485404;-71.13754549;Entire home/apt;70;2;47;2018-11-09;1.55;2;109
11902134;Apartment in Historic South End;63487603;James;0;South End;42.34389102;-71.06948267;Entire home/apt;300;2;25;2018-09-15;0.78;1;353
11905849;Comtemporary Luxurious One Bed in Back Bay;18202088;Luxurious;0;Back Bay;42.34613197;-71.07942554;Entire home/apt;207;3;12;2018-10-23;0.38;27;81
11912139;Bed, Bath & Beyond IV in JP;14303759;Susan;0;Jamaica Plain;42.32134118;-71.10588596;Private room;65;1;119;2018-11-08;3.7;4;347
11922134;"Boston's favorite ""Little Italy""";24997738;Anthony;0;North End;42.36430462;-71.05616674;Entire home/apt;80;1;147;2018-06-06;4.77;3;154
11924459;Lila Italy,Harbor Efficiency Private Entrance;46702413;Beth;0;North End;42.36666039;-71.05315578;Private room;75;3;170;2018-11-11;5.27;3;310
11927580;South End Brownstone Private Roof Deck;15421490;Ashley;0;South End;42.3403315;-71.0804136;Entire home/apt;200;1;7;2017-10-01;0.38;1;0
11940785;Boston -in the center of it ALL!;25470887;Shawn;0;Bay Village;42.34823708;-71.06851742;Entire home/apt;139;3;2;2016-09-05;0.07;1;0
